Task ID,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,T_Header,T_Column,T_Par,T_Prompt,T_Answer,T_Answer_Column_or_Row
1,"DS1_anime_bar1.png",49,1,anime,bar,1,Filter,T1_Header,Completed,J,80.0,"In the 'Completed' column, count how many cells exceed the value of '80' ",7
1,"DS2_anime_bar2.png",50,2,anime,bar,2,Filter,T1_Header,Members,I,70.0,"In the 'Members' column, count how many cells exceed the value of '70' ",6
1,"DS3_anime_bar3.png",51,3,anime,bar,3,Filter,T1_Header,Ranked,G,88.0,"In the 'Ranked' column, count how many cells exceed the value of '88' ",5
1,"DS4_anime_bar4.png",52,4,anime,bar,4,Filter,T1_Header,Score,K,43.0,"In the 'Score' column, count how many cells exceed the value of '43' ",8
1,"DS5_cereal_color1.png",5,5,cereal,color,1,Filter,T1_Header,Sodium,I,57.0,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8
1,"DS6_cereal_color2.png",6,6,cereal,color,2,Filter,T1_Header,Carbo,H,70.0,"In the 'Carbo' column, count how many cells exceed the value of '70' ",5
1,"DS7_cereal_color3.png",7,7,cereal,color,3,Filter,T1_Header,Protein,J,45.0,"In the 'Protein' column, count how many cells exceed the value of '45' ",6
1,"DS8_cereal_color4.png",8,8,cereal,color,4,Filter,T1_Header,Fat,K,60.0,"In the 'Fat' column, count how many cells exceed the value of '60' ",7
1,"DS9_candy_plain1.png",41,9,candy,plain,1,Filter,T1_Header,Fruity,K,66.0,"In the 'Fruity' column, count how many cells exceed the value of '66' ",5
1,"DS10_candy_plain2.png",42,10,candy,plain,2,Filter,T1_Header,Rating,J,38.0,"In the 'Rating' column, count how many cells exceed the value of '38' ",8
1,"DS11_candy_plain3.png",43,11,candy,plain,3,Filter,T1_Header,Pluribus,G,50.0,"In the 'Pluribus' column, count how many cells exceed the value of '50' ",7
1,"DS12_candy_plain4.png",44,12,candy,plain,4,Filter,T1_Header,Nougat,I,57.0,"In the 'Nougat' column, count how many cells exceed the value of '57' ",6
1,"DS13_movie_zebra1.png",29,13,movie,zebra,1,Filter,T1_Header,Fandango,H,70.0,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5
1,"DS14_movie_zebra2.png",30,14,movie,zebra,2,Filter,T1_Header,PluggedIn,I,76.0,"In the 'PluggedIn' column, count how many cells exceed the value of '76' ",8
1,"DS15_movie_zebra3.png",31,15,movie,zebra,3,Filter,T1_Header,Hulu,J,54.0,"In the 'Hulu' column, count how many cells exceed the value of '54' ",7
1,"DS16_movie_zebra4.png",32,16,movie,zebra,4,Filter,T1_Header,Metacritic,G,57.0,"In the 'Metacritic' column, count how many cells exceed the value of '57' ",6
2,"task2\T2_DS1_anime_bar1.png",49,1,anime,bar,1,Correlation,T2_Header,Episodes,C,0.909210283,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed
2,"task2\T2_DS2_anime_bar2.png",50,2,anime,bar,2,Correlation,T2_Header,Plan to Watch,C,0.942863334,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites
2,"task2\T2_DS3_anime_bar3.png",51,3,anime,bar,3,Correlation,T2_Header,Completed,C,0.973062733,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes
2,"task2\T2_DS4_anime_bar4.png",52,4,anime,bar,4,Correlation,T2_Header,Score,C,0.954489514,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped
2,"task2\T2_DS5_cereal_color1.png",5,5,cereal,color,1,Correlation,T2_Header,Potassium,C,0.918483604,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars
2,"task2\T2_DS6_cereal_color2.png",6,6,cereal,color,2,Correlation,T2_Header,Calories,C,0.959726786,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein
2,"task2\T2_DS7_cereal_color3.png",7,7,cereal,color,3,Correlation,T2_Header,Iron,C,0.915948706,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo
2,"task2\T2_DS8_cereal_color4.png",8,8,cereal,color,4,Correlation,T2_Header,Vitamins,C,0.909418419,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium
2,"task2\T2_DS9_candy_plain1.png",41,9,candy,plain,1,Correlation,T2_Header,Hard,C,0.952484022,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate
2,"task2\T2_DS10_candy_plain2.png",42,10,candy,plain,2,Correlation,T2_Header,SugarPercent,C,0.910224308,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating
2,"task2\T2_DS11_candy_plain3.png",43,11,candy,plain,3,Correlation,T2_Header,Rating,C,0.922893998,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate
2,"task2\T2_DS12_candy_plain4.png",44,12,candy,plain,4,Correlation,T2_Header,Hard,C,0.95087863,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat
2,"task2\T2_DS13_movie_zebra1.png",29,13,movie,zebra,1,Correlation,T2_Header,Naver,C,0.969706206,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert
2,"task2\T2_DS14_movie_zebra2.png",30,14,movie,zebra,2,Correlation,T2_Header,MrQE,C,0.932265726,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix
2,"task2\T2_DS15_movie_zebra3.png",31,15,movie,zebra,3,Correlation,T2_Header,RottenTomatoes,C,0.916798911,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix
2,"task2\T2_DS16_movie_zebra4.png",32,16,movie,zebra,4,Correlation,T2_Header,IMDB,C,0.972832768,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango
3,"DS1_anime_bar1.png",49,1,anime,bar,1,Sort,T3_Header,Episodes,L,60 56 53,"In the 'Episodes' column, give the row names of the animes with the highest 3 values in descending order ",Dragon Ball-Magical Warfare-Queen Kingdom
3,"DS2_anime_bar2.png",50,2,anime,bar,2,Sort,T3_Header,Members,I,88 86 83,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",Connect Angel-Beating Music-Hungry Heart
3,"DS3_anime_bar3.png",51,3,anime,bar,3,Sort,T3_Header,Favorites,J,75 73 71,"In the 'Favorites' column, give the row names of the animes with the highest 3 values in descending order ",King Ranking-Ultimate horror-Queen Kingdom
3,"DS4_anime_bar4.png",52,4,anime,bar,4,Sort,T3_Header,Score,K,74 73 70,"In the 'Score' column, give the row names of the animes with the highest 3 values in descending order ",Ultra Generation-Mobile Phone-Ultimate horror
3,"DS5_cereal_color1.png",5,5,cereal,color,1,Sort,T3_Header,Calories,H,88 86 83,"In the 'Calories' column, give the row names of the cereals with the highest 3 values in descending order ",Natural Bran-Almond Raisin-Fruity Pebbles
3,"DS6_cereal_color2.png",6,6,cereal,color,2,Sort,T3_Header,Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Colorful Bran-Apple Jacks-Wheat Cream
3,"DS7_cereal_color3.png",7,7,cereal,color,3,Sort,T3_Header,Protein,J,60 56 53,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",Natural Bran-Golden Crisp-Wonderful Chex
3,"DS8_cereal_color4.png",8,8,cereal,color,4,Sort,T3_Header,Fat,K,75 73 71,"In the 'Fat' column, give the row names of the cereals with the highest 3 values in descending order ",Grape Flakes-Count Chocula-Golden Crisp
3,"DS9_candy_plain1.png",41,9,candy,plain,1,Sort,T3_Header,SugarPercent,H,98 84 80,"In the 'SugarPercent' column, give the row names of the candys with the highest 3 values in descending order ",Gold Bears-Milk Duds-Berry Chews
3,"DS10_candy_plain2.png",42,10,candy,plain,2,Sort,T3_Header,Chocolate,K,75 73 71,"In the 'Chocolate' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Fruit Chews-Now Later
3,"DS11_candy_plain3.png",43,11,candy,plain,3,Sort,T3_Header,Almond,L,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Pop Rocks-Pixie Sticks-Junior Mints
3,"DS12_candy_plain4.png",44,12,candy,plain,4,Sort,T3_Header,Pluribus,J,98 97 95,"In the 'Pluribus' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Boston Beans-Hersheys Kisses
3,"DS13_movie_zebra1.png",29,13,movie,zebra,1,Sort,T3_Header,Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",End Tour-Black White-My Dreams
3,"DS14_movie_zebra2.png",30,14,movie,zebra,2,Sort,T3_Header,Fandango,K,75 73 71,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Black Sea-Water Diviner-Hunting Ground
3,"DS15_movie_zebra3.png",31,15,movie,zebra,3,Sort,T3_Header,RottenTomatoes,H,98 84 80,"In the 'RottenTomatoes' column, give the row names of the movies with the highest 3 values in descending order ",Crazy Adventure-Fantastic Four-Black Sea
3,"DS16_movie_zebra4.png",32,16,movie,zebra,4,Sort,T3_Header,Naver,J,71 70 68,"In the 'Naver' column, give the row names of the movies with the highest 3 values in descending order ",Wild Tales-Teenage Girl -My Dreams
4,"DS1_anime_bar1.png",49,1,anime,bar,1,Estimate Average,T4_Header,Plan to Watch,D,,"In the 'Plan to Watch' column, calculate a rough estimate of the average value",28.89655172
4,"DS2_anime_bar2.png",50,2,anime,bar,2,Estimate Average,T4_Header,Popularity,F,,"In the 'Popularity' column, calculate a rough estimate of the average value",62.37931034
4,"DS3_anime_bar3.png",51,3,anime,bar,3,Estimate Average,T4_Header,Watching,E,,"In the 'Watching' column, calculate a rough estimate of the average value",37.86206897
4,"DS4_anime_bar4.png",52,4,anime,bar,4,Estimate Average,T4_Header,Members,G,,"In the 'Members' column, calculate a rough estimate of the average value",47.65517241
4,"DS5_cereal_color1.png",5,5,cereal,color,1,Estimate Average,T4_Header,Vitamins,F,,"In the 'Vitamins' column, calculate a rough estimate of the average value",56.93103448
4,"DS6_cereal_color2.png",6,6,cereal,color,2,Estimate Average,T4_Header,Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",42.10344828
4,"DS7_cereal_color3.png",7,7,cereal,color,3,Estimate Average,T4_Header,Fat,D,,"In the 'Fat' column, calculate a rough estimate of the average value",35.62068966
4,"DS8_cereal_color4.png",8,8,cereal,color,4,Estimate Average,T4_Header,Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",52.31034483
4,"DS9_candy_plain1.png",41,9,candy,plain,1,Estimate Average,T4_Header,Caramel,G,,"In the 'Caramel' column, calculate a rough estimate of the average value",37.86206897
4,"DS10_candy_plain2.png",42,10,candy,plain,2,Estimate Average,T4_Header,Almond,D,,"In the 'Almond' column, calculate a rough estimate of the average value",35.62068966
4,"DS11_candy_plain3.png",43,11,candy,plain,3,Estimate Average,T4_Header,Caramel,F,,"In the 'Caramel' column, calculate a rough estimate of the average value",50.24137931
4,"DS12_candy_plain4.png",44,12,candy,plain,4,Estimate Average,T4_Header,Fruity,G,,"In the 'Fruity' column, calculate a rough estimate of the average value",37.86206897
4,"DS13_movie_zebra1.png",29,13,movie,zebra,1,Estimate Average,T4_Header,MrQE,E,,"In the 'MrQE' column, calculate a rough estimate of the average value",52.31034483
4,"DS14_movie_zebra2.png",30,14,movie,zebra,2,Estimate Average,T4_Header,IMDB,G,,"In the 'IMDB' column, calculate a rough estimate of the average value",37.86206897
4,"DS15_movie_zebra3.png",31,15,movie,zebra,3,Estimate Average,T4_Header,Netflix,F,,"In the 'Netflix' column, calculate a rough estimate of the average value",50.24137931
4,"DS16_movie_zebra4.png",32,16,movie,zebra,4,Estimate Average,T4_Header,Roger Ebert,E,,"In the 'Roger Ebert' column, calculate a rough estimate of the average value",52.31034483
5,"DS1_anime_bar1.png",49,1,anime,bar,1,Retrieve Value,T5_Header,Ranked,G,15,"In the 'Ranked' column, find the anime with a value equal to '15' ",Best Humanity
5,"DS2_anime_bar2.png",50,2,anime,bar,2,Retrieve Value,T5_Header,Watching,H,26,"In the 'Watching' column, find the anime with a value equal to '26' ",Queen Kingdom
5,"DS3_anime_bar3.png",51,3,anime,bar,3,Retrieve Value,T5_Header,Plan to Watch,I,17,"In the 'Plan to Watch' column, find the anime with a value equal to '17' ",Great Teacher
5,"DS4_anime_bar4.png",52,4,anime,bar,4,Retrieve Value,T5_Header,Popularity,J,12,"In the 'Popularity' column, find the anime with a value equal to '12' ",Helping Alice
5,"DS5_cereal_color1.png",5,5,cereal,color,1,Retrieve Value,T5_Header,Iron,K,51,"In the 'Iron' column, find the cereal with a value equal to '51' ",Corn Favorite
5,"DS6_cereal_color2.png",6,6,cereal,color,2,Retrieve Value,T5_Header,Carbo,H,32,"In the 'Carbo' column, find the cereal with a value equal to '32' ",Fruity Pebbles
5,"DS7_cereal_color3.png",7,7,cereal,color,3,Retrieve Value,T5_Header,Potassium,I,83,"In the 'Potassium' column, find the cereal with a value equal to '83' ",Corn Favorite
5,"DS8_cereal_color4.png",8,8,cereal,color,4,Retrieve Value,T5_Header,Fat,K,26,"In the 'Fat' column, find the cereal with a value equal to '26' ",Wonderful Chex
5,"DS9_candy_plain1.png",41,9,candy,plain,1,Retrieve Value,T5_Header,Bar,J,32,"In the 'Bar' column, find the candy with a value equal to '32' ",Fun Dips
5,"DS10_candy_plain2.png",42,10,candy,plain,2,Retrieve Value,T5_Header,Chocolate,K,68,"In the 'Chocolate' column, find the candy with a value equal to '68' ",Root Barrels
5,"DS11_candy_plain3.png",43,11,candy,plain,3,Retrieve Value,T5_Header,Almond,L,26,"In the 'Almond' column, find the candy with a value equal to '26' ",Reese Pieces
5,"DS12_candy_plain4.png",44,12,candy,plain,4,Retrieve Value,T5_Header,Caramel,K,15,"In the 'Caramel' column, find the candy with a value equal to '15' ",Fruit Chews
5,"DS13_movie_zebra1.png",29,13,movie,zebra,1,Retrieve Value,T5_Header,FilmComment,J,67,"In the 'FilmComment' column, find the movie with a value equal to '67' ",Black Sea
5,"DS14_movie_zebra2.png",30,14,movie,zebra,2,Retrieve Value,T5_Header,PluggedIn,I,79,"In the 'PluggedIn' column, find the movie with a value equal to '79' ",Hot Pursuit
5,"DS15_movie_zebra3.png",31,15,movie,zebra,3,Retrieve Value,T5_Header,Naver,L,73,"In the 'Naver' column, find the movie with a value equal to '73' ",South Paw
5,"DS16_movie_zebra4.png",32,16,movie,zebra,4,Retrieve Value,T5_Header,FilmComment,K,31,"In the 'FilmComment' column, find the movie with a value equal to '31' ",Fantastic Four
