Task id,Table png,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,Header, Column,Par 1, Prompt , Expected Answer, Answer Column / Row,
1,DS1_anime_color1.png,1,1,anime,color,1,Filter,Watching,J,80,"In the 'Watching' column, count how many cells exceed the value of '80' ",7,J,
1,DS2_anime_color2.png,2,2,anime,color,2,Filter,Popularity,I,70,"In the 'Popularity' column, count how many cells exceed the value of '70' ",6,I,
1,DS3_anime_color3.png,3,3,anime,color,3,Filter,Watching,G,88,"In the 'Watching' column, count how many cells exceed the value of '88' ",5,G,
1,DS4_anime_color4.png,4,4,anime,color,4,Filter,Members,K,43,"In the 'Members' column, count how many cells exceed the value of '43' ",8,K,
1,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Filter,Sodium,I,57,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8,I,
1,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Filter,Score,H,70,"In the 'Score' column, count how many cells exceed the value of '70' ",5,H,
1,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Filter,Carbo,J,45,"In the 'Carbo' column, count how many cells exceed the value of '45' ",6,J,
1,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Filter,Sodium,K,60,"In the 'Sodium' column, count how many cells exceed the value of '60' ",7,K,
1,DS9_candy_plain1.png,41,9,candy,plain,1,Filter,Fruity,K,66,"In the 'Fruity' column, count how many cells exceed the value of '66' ",5,K,
1,DS10_candy_plain2.png,42,10,candy,plain,2,Filter,Rating,J,38,"In the 'Rating' column, count how many cells exceed the value of '38' ",8,J,
1,DS11_candy_plain3.png,43,11,candy,plain,3,Filter,Pluribus,G,50,"In the 'Pluribus' column, count how many cells exceed the value of '50' ",7,G,
1,DS12_candy_plain4.png,44,12,candy,plain,4,Filter,Nougat,I,57,"In the 'Nougat' column, count how many cells exceed the value of '57' ",6,I,
1,DS13_movie_bar1.png,61,13,movie,bar,1,Filter,Fandango,H,70,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5,H,
1,DS14_movie_bar2.png,62,14,movie,bar,2,Filter,Hulu,I,76,"In the 'Hulu' column, count how many cells exceed the value of '76' ",8,I,
1,DS15_movie_bar3.png,63,15,movie,bar,3,Filter,PluggedIn,J,54,"In the 'PluggedIn' column, count how many cells exceed the value of '54' ",7,J,
1,DS16_movie_bar4.png,64,16,movie,bar,4,Filter,Netflix,G,57,"In the 'Netflix' column, count how many cells exceed the value of '57' ",6,G,
2,task2\\T2_DS1_anime_color1.png,1,1,anime,color,1,Correlation,Episodes,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Episodes',Completed,I,
2,task2\\T2_DS2_anime_color2.png,2,2,anime,color,2,Correlation,Plan to Watch,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Plan to Watch' ,Favorites,L,
2,task2\\T2_DS3_anime_color3.png,3,3,anime,color,3,Correlation,Completed,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Completed',Episodes,K,
2,task2\\T2_DS4_anime_color4.png,4,4,anime,color,4,Correlation,Score,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Score',Dropped,J,
2,task2\\T2_DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Correlation,Potassium,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Potassium',Sugars,K,
2,task2\\T2_DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Correlation,Calories,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Calories',Protein,I,
2,task2\\T2_DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Correlation,Iron,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Iron',Carbo,J,
2,task2\\T2_DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Correlation,Vitamins,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Vitamins',Potassium,L,
2,task2\\T2_DS9_candy_plain1.png,41,9,candy,plain,1,Correlation,Hard,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Hard',Chocolate,L,
2,task2\\T2_DS10_candy_plain2.png,42,10,candy,plain,2,Correlation,Sugar Percent,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Sugar Percent' ,Rating,J,
2,task2\\T2_DS11_candy_plain3.png,43,11,candy,plain,3,Correlation,Rating,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Rating',Chocolate,K,
2,task2\\T2_DS12_candy_plain4.png,44,12,candy,plain,4,Correlation,Hard,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Hard',Nougat,I,
2,task2\\T2_DS12_candy_plain4.png,61,13,movie,bar,1,Correlation,Naver,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Naver',Roger Ebert,I,
2,task2\\T2_DS14_movie_bar2.png,62,14,movie,bar,2,Correlation,MrQE,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'MrQE',Netflix,L,
2,task2\\T2_DS15_movie_bar3.png,63,15,movie,bar,3,Correlation,Rotten Tomatoes,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Rotten Tomatoes' ,Netflix,K,
2,task2\\T2_DS16_movie_bar4.png,64,16,movie,bar,4,Correlation,IMDB,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'IMDB',Fandango,J,
3,DS1_anime_color1.png,1,1,anime,color,1,Sort,Dropped,L,60 59 56,"In the 'Dropped' column, give the row names of the highest 3 anime values in descending order ",Fafnar Weapon-Connect Angel-Dragon Ball,13 3 18,
3,DS2_anime_color2.png,2,2,anime,color,2,Sort,Popularity,I,88 86 83,"In the 'Popularity' column, give the row names of the highest 3 anime values in descending order ",Different Life-Connect Angel-Assassian World,5 18 6,
3,DS3_anime_color3.png,3,3,anime,color,3,Sort,On-Hold,J,75 73 71,"In the 'On-Hold' column, give the row names of the highest 3 anime values in descending order ",Dragon Ball-Different Life-Connect Angel,5 10 11,
3,DS4_anime_color4.png,4,4,anime,color,4,Sort,Members,K,74 73 70,"In the 'Members' column, give the row names of the highest 3 anime values in descending order ",Different Life-Fafnar Weapon-Travel World,6 24 22,
3,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sort,Vitamins,H,88 86 83,"In the 'Vitamins' column, give the row names of the highest 3 cereal values in descending order ",Cap Crunch-Corn Favorite-Raisin Bran,5 19 20,
3,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Sort,Protein,I,71 70 68,"In the 'Protein' column, give the row names of the highest 3 cereal values in descending order ",Smile Maker-Natural Bran-Fruity Pebbles,22 3 7,
3,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Sort,Carbo,J,60 56 53,"In the 'Carbo' column, give the row names of the highest 3 cereal values in descending order ",Cinnamon Toast-Cap Crunch-Mini Wheats,7 23 18,
3,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sort,Sodium,K,75 73 71,"In the 'Sodium' column, give the row names of the highest 3 cereal values in descending order ",Wonderful Chex-Bran Chex-Raisin Bran,16 10 19,
3,DS9_candy_plain1.png,41,9,candy,plain,1,Sort,Sugar Percent,H,98 84 80,"In the 'Sugar Percent' column, give the row names of the highest 3 candy values in descending order ",Gold Bears-Milk Duds-Berry Chews,30 9 11,
3,DS10_candy_plain2.png,42,10,candy,plain,2,Sort,Chocolate,K,75 73 71,"In the 'Chocolate' column, give the row names of the highest 3 candy values in descending order ",Milk Duds-Fruit Chews-Now Later,31 8 26,
3,DS11_candy_plain3.png,43,11,candy,plain,3,Sort,Almond,L,75 73 71,"In the 'Almond' column, give the row names of the highest 3 candy values in descending order ",Pop Rocks-Pixie Sticks-Junior Mints,27 12 28,
3,DS12_candy_plain4.png,44,12,candy,plain,4,Sort,Pluribus,J,98 97 95,"In the 'Pluribus' column, give the row names of the highest 3 candy values in descending order ",Milk Duds-Boston Beans-Hersheys Kisses,30 19 16,
3,DS13_movie_bar1.png,61,13,movie,bar,1,Sort,Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the highest 3 movie values in descending order ",Adaline Age-Project Almanac-Ricki Flash,21 16 17,
3,DS14_movie_bar2.png,62,14,movie,bar,2,Sort,Metacritic,K,75 73 71,"In the 'Metacritic' column, give the row names of the highest 3 movie values in descending order ",Fantastic Four-Flights Up-Hunting Ground,5 21 20,
3,DS15_movie_bar3.png,63,15,movie,bar,3,Sort,Film Comment,H,98 84 80,"In the 'Film Comment' column, give the row names of the highest 3 movie values in descending order ",South Paw-Next Door-Black Sea,10 9 20,
3,DS16_movie_bar4.png,64,16,movie,bar,4,Sort,Fandango,J,71 70 68,"In the 'Fandango' column, give the row names of the highest 3 movie values in descending order ",Wild Tales-End Tour-Tomorrow land,18 6 10,
4,DS1_anime_color1.png,1,1,anime,color,1,Estimate Average,Score,D,0,"In the 'Score' column, calculate a rough estimate of the average value",28.896551724137932,D,
4,DS2_anime_color2.png,2,2,anime,color,2,Estimate Average,Episodes,F,0,"In the 'Episodes' column, calculate a rough estimate of the average value",62.37931034482759,F,
4,DS3_anime_color3.png,3,3,anime,color,3,Estimate Average,Members,E,0,"In the 'Members' column, calculate a rough estimate of the average value",37.86206896551724,E,
4,DS4_anime_color4.png,4,4,anime,color,4,Estimate Average,Favorites,G,0,"In the 'Favorites' column, calculate a rough estimate of the average value",47.6551724137931,G,
4,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Estimate Average,Fiber,F,0,"In the 'Fiber' column, calculate a rough estimate of the average value",56.93103448275862,F,
4,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Estimate Average,Fiber,G,0,"In the 'Fiber' column, calculate a rough estimate of the average value",52.310344827586206,G,
4,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Estimate Average,Sugars,D,0,"In the 'Sugars' column, calculate a rough estimate of the average value",35.62068965517241,D,
4,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Estimate Average,Score,E,0,"In the 'Score' column, calculate a rough estimate of the average value",52.310344827586206,E,
4,DS9_candy_plain1.png,41,9,candy,plain,1,Estimate Average,Caramel,G,0,"In the 'Caramel' column, calculate a rough estimate of the average value",37.86206896551724,G,
4,DS10_candy_plain2.png,42,10,candy,plain,2,Estimate Average,Almond,D,0,"In the 'Almond' column, calculate a rough estimate of the average value",35.62068965517241,D,
4,DS11_candy_plain3.png,43,11,candy,plain,3,Estimate Average,Caramel,F,0,"In the 'Caramel' column, calculate a rough estimate of the average value",50.241379310344826,F,
4,DS12_candy_plain4.png,44,12,candy,plain,4,Estimate Average,Fruity,G,0,"In the 'Fruity' column, calculate a rough estimate of the average value",37.86206896551724,G,
4,DS13_movie_bar1.png,61,13,movie,bar,1,Estimate Average,Metacritic,E,0,"In the 'Metacritic' column, calculate a rough estimate of the average value",52.310344827586206,E,
4,DS14_movie_bar2.png,62,14,movie,bar,2,Estimate Average,Fandango,G,0,"In the 'Fandango' column, calculate a rough estimate of the average value",37.86206896551724,G,
4,DS15_movie_bar3.png,63,15,movie,bar,3,Estimate Average,Metacritic,F,0,"In the 'Metacritic' column, calculate a rough estimate of the average value",50.241379310344826,F,
4,DS16_movie_bar4.png,64,16,movie,bar,4,Estimate Average,Hulu,E,0,"In the 'Hulu' column, calculate a rough estimate of the average value",52.310344827586206,E,
5,DS1_anime_color1.png,1,1,anime,color,1,Retreive Value,Members,G,15,"In the 'Members' column, find the anime with a value equal to '15' ",Metal Panic,16,
5,DS2_anime_color2.png,2,2,anime,color,2,Retreive Value,Ranked,H,26,"In the 'Ranked' column, find the anime with a value equal to '26' ",Monster Hunter,20,
5,DS3_anime_color3.png,3,3,anime,color,3,Retreive Value,Dropped,I,17,"In the 'Dropped' column, find the anime with a value equal to '17' ",Magical Warfare,16,
5,DS4_anime_color4.png,4,4,anime,color,4,Retreive Value,Dropped,J,12,"In the 'Dropped' column, find the anime with a value equal to '12' ",Metal Panic,18,
5,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Retreive Value,Sugars,K,51,"In the 'Sugars' column, find the cereal with a value equal to '51' ",Wonderful Chex,17,
5,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Retreive Value,Score,H,32,"In the 'Score' column, find the cereal with a value equal to '32' ",Wheat Cream,19,
5,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Retreive Value,Protein,I,83,"In the 'Protein' column, find the cereal with a value equal to '83' ",Lucky Charms,17,
5,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Retreive Value,Sodium,K,26,"In the 'Sodium' column, find the cereal with a value equal to '26' ",Wheat Cream,20,
5,DS9_candy_plain1.png,41,9,candy,plain,1,Retreive Value,Bar,J,32,"In the 'Bar' column, find the candy with a value equal to '32' ",Fun Dips,19,
5,DS10_candy_plain2.png,42,10,candy,plain,2,Retreive Value,Chocolate,K,68,"In the 'Chocolate' column, find the candy with a value equal to '68' ",Root Barrels,17,
5,DS11_candy_plain3.png,43,11,candy,plain,3,Retreive Value,Almond,L,26,"In the 'Almond' column, find the candy with a value equal to '26' ",Reese Pieces,11,
5,DS12_candy_plain4.png,44,12,candy,plain,4,Retreive Value,Caramel,K,15,"In the 'Caramel' column, find the candy with a value equal to '15' ",Fruit Chews,15,
5,DS13_movie_bar1.png,61,13,movie,bar,1,Retreive Value,IMDB,J,67,"In the 'IMDB' column, find the movie with a value equal to '67' ",South Paw,20,
5,DS14_movie_bar2.png,62,14,movie,bar,2,Retreive Value,Hulu,I,79,"In the 'Hulu' column, find the movie with a value equal to '79' ",Saint Laurent,18,
5,DS15_movie_bar3.png,63,15,movie,bar,3,Retreive Value,Naver,L,73,"In the 'Naver' column, find the movie with a value equal to '73' ",End Tour,19,
5,DS16_movie_bar4.png,64,16,movie,bar,4,Retreive Value,Film Comment,K,31,"In the 'Film Comment' column, find the movie with a value equal to '31' ",Next Door,17,
